Training_Model,Test_Category,Specific_Environment,Emotion_Class,Precision,Recall,F1_Score,Overall_Model_Accuracy
SVM_LINEAR_Clean,Raw_Noisy,Cafe_10dB,Anxiety/Fear (A),0.44,0.7857142857142857,0.5641025641025641,0.48598130841121495
SVM_LINEAR_Clean,Raw_Noisy,Cafe_10dB,Happiness (F),0.5,0.5,0.5,0.48598130841121495
SVM_LINEAR_Clean,Raw_Noisy,Cafe_10dB,Sadness (T),1.0,0.4166666666666667,0.5882352941176471,0.48598130841121495
SVM_LINEAR_Clean,Raw_Noisy,Cafe_10dB,Neutral (N),0.5,0.0625,0.1111111111111111,0.48598130841121495
SVM_LINEAR_Clean,Raw_Noisy,Cafe_10dB,MACRO AVG,0.5679763121129345,0.5163963021105877,0.46897373242805035,0.48598130841121495
SVM_LINEAR_Clean,Raw_Noisy,Cafe_10dB,WEIGHTED AVG,0.5845168383904663,0.48598130841121495,0.46170921575925494,0.48598130841121495
SVM_LINEAR_Clean,Raw_Noisy,Cafe_15dB,Anger (W),0.75,0.46153846153846156,0.5714285714285714,0.5420560747663551
SVM_LINEAR_Clean,Raw_Noisy,Cafe_15dB,Boredom (L),0.47619047619047616,0.625,0.5405405405405406,0.5420560747663551
SVM_LINEAR_Clean,Raw_Noisy,Cafe_15dB,Disgust (E),0.29411764705882354,0.5555555555555556,0.38461538461538464,0.5420560747663551
SVM_LINEAR_Clean,Raw_Noisy,Cafe_15dB,Anxiety/Fear (A),0.5263157894736842,0.7142857142857143,0.6060606060606061,0.5420560747663551
SVM_LINEAR_Clean,Raw_Noisy,Cafe_15dB,Happiness (F),0.4375,0.5,0.4666666666666667,0.5420560747663551
SVM_LINEAR_Clean,Raw_Noisy,Cafe_15dB,Sadness (T),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5420560747663551
SVM_LINEAR_Clean,Raw_Noisy,Cafe_15dB,Neutral (N),1.0,0.375,0.5454545454545454,0.5420560747663551
SVM_LINEAR_Clean,Raw_Noisy,Cafe_15dB,MACRO AVG,0.5929700827699501,0.5568637711494854,0.540204711633283,0.5420560747663551
