Training_Model,Test_Category,Specific_Environment,Emotion_Class,Precision,Recall,F1_Score,Overall_Model_Accuracy
Super_Model_Clean,Raw_Noisy,Cafe_10dB,MACRO AVG,0.4889738081467404,0.48846589918018485,0.44697248788341415,0.4953271028037383
Super_Model_Clean,Raw_Noisy,Cafe_10dB,WEIGHTED AVG,0.501071874510143,0.4953271028037383,0.459515931004126,0.4953271028037383
Super_Model_Clean,Raw_Noisy,Cafe_15dB,Anger (W),0.48484848484848486,0.6153846153846154,0.5423728813559322,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Cafe_15dB,Boredom (L),0.4444444444444444,0.5,0.47058823529411764,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Cafe_15dB,Disgust (E),0.4,0.6666666666666666,0.5,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Cafe_15dB,Anxiety/Fear (A),0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Cafe_15dB,Happiness (F),0.0,0.0,0.0,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Cafe_15dB,Sadness (T),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Cafe_15dB,Neutral (N),0.5384615384615384,0.4375,0.4827586206896552,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Cafe_15dB,MACRO AVG,0.4538968967540396,0.5041535845107273,0.47217764955193064,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Cafe_15dB,WEIGHTED AVG,0.4573136105846386,0.5046728971962616,0.4752826599158374,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Cafe_5dB,Anger (W),0.36363636363636365,0.6153846153846154,0.45714285714285713,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Cafe_5dB,Boredom (L),0.4,0.125,0.19047619047619047,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Cafe_5dB,Disgust (E),0.2571428571428571,1.0,0.4090909090909091,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Cafe_5dB,Anxiety/Fear (A),0.42105263157894735,0.5714285714285714,0.48484848484848486,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Cafe_5dB,Happiness (F),0.0,0.0,0.0,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Cafe_5dB,Sadness (T),1.0,0.08333333333333333,0.15384615384615385,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Cafe_5dB,Neutral (N),1.0,0.0625,0.11764705882352941,0.34579439252336447
